Sno,MatchID,Team1,Team2,Winner,Year,Ground,Runs,Fours,Sixes,MatchTime,Ha1,Ha2,T1w,T2w,T1b,Groundcapacity,AvgSR
4,657,Bangladesh,India,India,2018,Colombo (RPS),260,25,6,night,0,0,0,1,1,35000,118.95875
5,659,Sri Lanka,India,India,2018,Colombo (RPS),287,19,12,night,0,0,0,1,1,35000,122.6441176
6,660,Bangladesh,India,India,2018,Colombo (RPS),325,33,11,night,0,0,1,0,0,35000,134.6741667
7,662,Bangladesh,India,India,2018,Colombo (RPS),324,27,14,night,0,0,0,1,1,35000,120.3944444
8,678,Ireland,India,India,2018,Dublin (Malahide),327,24,18,day,1,0,1,0,0,20000,125.0533333
9,680,Ireland,India,India,2018,Dublin (Malahide),268,17,15,day,1,0,1,0,0,20000,125.9617647
10,684,England,India,India,2018,Manchester,309,30,11,daynight,1,0,0,1,1,19000,146.3428571
11,688,England,India,England,2018,Cardiff,283,21,10,daynight,1,0,1,0,0,5500,149.9371429
12,690,England,India,India,2018,Bristol,393,38,23,day,1,0,0,1,1,7000,144.782
13,707,India,West Indies,India,2018,Kolkata,201,24,2,night,1,0,1,0,0,66000,126.2523529
14,709,India,West Indies,India,2018,Lucknow,293,25,12,night,1,0,0,1,1,50000,122.8386667
15,710,India,West Indies,India,2018,Chennai,336,33,14,night,1,0,0,1,0,38000,137.9063636
16,712,Australia,India,Australia,2018,Brisbane,309,25,13,daynight,1,0,0,1,1,37000,160.488
17,713,Australia,India,no result,2018,Melbourne,116,10,4,night,1,0,0,1,1,90000,130.9877778
18,714,Australia,India,India,2018,Sydney,313,33,8,night,1,0,1,0,1,44002,135.3178571
0,639,New Zealand,Pakistan,New Zealand,2018,Wellington,204,13,7,daynight,1,0,1,0,0,33500,123.268125
1,640,New Zealand,Pakistan,Pakistan,2018,Auckland,327,29,14,night,1,0,0,1,0,41000,126.3264706
2,641,New Zealand,Pakistan,Pakistan,2018,Mount Maunganui,335,27,14,night,1,0,0,1,0,20000,134.8475
3,663,Pakistan,West Indies,Pakistan,2018,Karachi,246,25,9,day,1,0,0,1,1,20000,113.2055556
4,664,Pakistan,West Indies,Pakistan,2018,Karachi,316,38,8,day,1,0,1,0,1,20000,112.383125
5,665,Pakistan,West Indies,Pakistan,2018,Karachi,293,29,11,day,1,0,0,1,0,20000,116.2191667
