,Team1,Team2,MatchTime,Ha1,Ha2,T1w,T2w,T1b,Groundcapacity,AvgSR,CRating,Elevel
522,England,West Indies,day,1,0,0,1,0,23500,121.471875,203,L
523,Australia,England,day,1,0,0,1,0,25000,125.3633333,234,A
524,South Africa,England,night,0,0,0,1,1,25000,115.3422222,228,L
525,England,New Zealand,day,0,1,1,0,0,25000,122.2,217,L
526,England,India,night,0,0,0,1,0,25000,131.9014286,199,H
529,Australia,Bangladesh,day,0,1,1,0,0,25000,109.3438462,175,L
530,Australia,Pakistan,day,0,1,0,1,1,28000,134.702,240,A
531,Australia,Sri Lanka,day,0,1,1,0,0,25000,110.5638462,241,L
532,Australia,India,night,1,0,0,1,0,25000,136.2575,225,H
533,India,Australia,night,1,0,0,1,0,20000,133.0016667,225,A
534,Australia,New Zealand,night,1,0,1,0,1,18000,115.8747368,243,H
535,South Africa,Pakistan,night,1,0,1,0,0,28000,127.9741667,234,H
536,South Africa,West Indies,night,1,0,1,0,0,28000,134.5983333,223,H
537,South Africa,Bangladesh,night,1,0,1,0,0,25000,106.929375,169,H
539,South Africa,New Zealand,day,1,0,1,0,0,25000,114.534375,237,A
540,South Africa,India,night,0,0,0,1,0,25000,117.6105556,219,A
541,South Africa,New Zealand,night,1,0,1,0,0,28000,103.4283333,237,L
542,South Africa,West Indies,night,1,0,0,1,1,19000,109.0241176,223,A
546,Bangladesh,West Indies,day,0,1,1,0,0,28000,127.4046667,144,H
548,New Zealand,Sri Lanka,day,1,0,1,0,1,28000,131.6684615,224,L
549,India,New Zealand,day,0,1,1,0,0,28000,120.5731818,208,H
552,New Zealand,Pakistan,day,1,0,1,0,1,25000,124.466875,223,L
555,India,Pakistan,night,0,1,0,1,1,25000,131.0505556,205,A
560,India,Pakistan,day,0,1,1,0,1,28000,155.6061111,205,A
563,Bangladesh,Pakistan,day,1,0,1,0,0,7000,114.9105556,155,A
565,Pakistan,Sri Lanka,night,0,1,0,1,1,28000,113.9131579,221,L
567,Bangladesh,Pakistan,day,0,1,0,1,1,25000,111.4342105,155,L
572,Bangladesh,Sri Lanka,night,0,1,1,0,0,28000,113.2927778,156,L
574,New Zealand,England,night,1,0,1,0,0,41000,126.4519048,218,H
575,New Zealand,England,night,1,0,0,1,0,36500,129.1194737,218,H
576,England,New Zealand,day,1,0,1,0,0,19000,112.6161538,218,A
577,Australia,India,night,1,0,0,1,0,90000,69.00357143,242,L
578,West Indies,Australia,day,1,0,1,0,0,28000,114.39,228,H
579,South Africa,West Indies,night,1,0,1,0,0,28000,100.4976471,226,A
580,South Africa,Bangladesh,night,1,0,0,1,1,28000,106.9778947,174,L
583,New Zealand,West Indies,daynight,1,0,1,0,1,41000,115.9668421,212,H
584,New Zealand,West Indies,daynight,1,0,1,0,1,10000,120.0294737,212,H
591,Pakistan,Bangladesh,night,1,0,1,0,1,20000,94.215,157,L
592,Pakistan,Sri Lanka,day,0,0,1,0,0,20000,108.978,215,L
593,Pakistan,Sri Lanka,day,0,0,0,1,1,20000,121.6175,215,L
596,West Indies,England,day,1,0,1,0,0,25000,105.0782353,199,L
597,England,Pakistan,daynight,0,0,0,1,1,23500,115.41125,220,L
598,England,South Africa,daynight,0,0,1,0,1,15350,111.389375,234,L
599,England,India,daynight,0,0,0,1,1,30000,121.72125,231,L
600,England,West Indies,daynight,1,0,1,0,1,23500,123.1186667,199,L
601,England,Australia,day,1,0,1,0,0,19000,117.2522222,233,L
602,South Africa,England,night,1,0,1,0,0,28000,130.0861538,234,H
603,South Africa,England,day,1,0,1,0,1,20000,122.2511111,234,H
604,Australia,South Africa,night,1,0,1,0,1,90000,104.6759091,249,L
605,Australia,South Africa,night,1,0,0,1,0,37000,118.3115385,249,L
606,Australia,New Zealand,night,1,0,1,0,1,44002,100.8875,236,L
607,South Africa,Australia,night,1,0,1,0,0,28000,122.0741176,249,A
608,South Africa,Australia,night,1,0,0,1,1,20000,115.8470588,249,L
609,Australia,Pakistan,day,0,0,0,1,1,25000,92.111875,235,L
610,Australia,West Indies,day,0,1,1,0,1,23500,124.3992857,214,A
611,Australia,Sri Lanka,daynight,1,0,0,1,1,15350,118.6947059,229,H
617,New Zealand,South Africa,daynight,0,0,1,0,0,30000,124.5293333,237,L
619,South Africa,West Indies,day,0,1,0,1,1,23500,121.361,215,H
620,India,South Africa,daynight,0,0,0,1,0,15350,125.0570588,247,L
621,Pakistan,South Africa,daynight,0,0,1,0,1,15350,127.2107692,236,L
626,Sri Lanka,West Indies,day,0,1,0,1,1,15350,120.9392857,195,A
627,India,West Indies,daynight,0,1,1,0,1,30000,128.5364286,212,L
630,Sri Lanka,West Indies,daynight,0,1,0,1,1,23500,118.9466667,195,H
631,West Indies,Bangladesh,day,1,0,0,1,0,8000,98.91333333,136,A
633,New Zealand,India,night,1,0,1,0,0,36500,134.095,234,H
634,New Zealand,India,night,1,0,1,0,0,33500,129.7506667,234,A
636,New Zealand,Pakistan,daynight,0,0,1,0,1,23500,110.9876471,223,L
637,New Zealand,Sri Lanka,day,0,0,0,1,0,15350,114.1322222,217,L
638,Sri Lanka,New Zealand,night,1,0,0,1,0,35000,114.7266667,217,L
639,Sri Lanka,New Zealand,night,1,0,0,1,0,35000,118.3486667,217,L
640,New Zealand,Pakistan,night,1,0,1,0,0,25000,117.834,223,L
641,New Zealand,Pakistan,night,1,0,0,1,0,25000,115.8176923,223,L
642,Sri Lanka,India,night,1,0,1,0,1,35000,128.328,227,H
645,Bangladesh,India,night,0,0,0,1,0,15350,122.5282353,168,L
649,India,Sri Lanka,daynight,1,0,1,0,0,45000,145.3523529,227,H
650,India,Sri Lanka,daynight,1,0,0,1,0,20000,148.368,227,H
653,Pakistan,Sri Lanka,day,0,0,0,1,0,30000,118.917,216,L
656,Pakistan,Sri Lanka,day,0,0,0,1,0,30000,114.2241667,216,L
657,Sri Lanka,Pakistan,night,1,0,0,1,0,35000,110.115,216,L
672,England,Pakistan,night,0,1,0,1,0,25000,99.79066667,214,L
673,England,Pakistan,night,0,1,0,1,1,25000,105.77375,214,L
674,West Indies,England,day,0,0,1,0,0,15000,118.1181818,182,A
675,England,Pakistan,day,0,0,1,0,0,28000,126.8335294,214,A
676,England,South Africa,day,0,1,1,0,1,28000,113.8375,227,L
